trial,payload_bytes,latency_ns,delivered
27,49152,417257,true
28,49152,404253,true
29,49152,247637,true
30,49152,552172,true
31,49152,264549,true
32,49152,436995,true
33,49152,496277,true
34,49152,379786,true
35,49152,294506,true
36,49152,707675,true
37,49152,231417,true
38,49152,574464,true
39,49152,271492,true
40,49152,265180,true
41,49152,900910,true
42,49152,522526,true
43,49152,216829,true
44,49152,661789,true
45,49152,261774,true
46,49152,351183,true
47,49152,712565,true
48,49152,267485,true
49,49152,568042,true
50,49152,467091,true
51,49152,326487,true
52,49152,257677,true
53,49152,624559,true
54,49152,321206,true
55,49152,593320,true
56,49152,331696,true
57,49152,258839,true
58,49152,826159,true
59,49152,253208,true
60,49152,540109,true
61,49152,680244,true
62,49152,230706,true
63,49152,363716,true
64,49152,558754,true
65,49152,336676,true
66,49152,416877,true
67,49152,779762,true
68,49152,246005,true
69,49152,536602,true
70,49152,401868,true
71,49152,390827,true
72,49152,371852,true
73,49152,467773,true
74,49152,489684,true
75,49152,349108,true
76,49152,546020,true
77,49152,546351,true
78,49152,483632,true
79,49152,597106,true
80,49152,391940,true
81,49152,275400,true
82,49152,826590,true
83,49152,285108,true
84,49152,422968,true
85,49152,590064,true
86,49152,367905,true
87,49152,295638,true
88,49152,500755,true
89,49152,382261,true
90,49152,414733,true
91,49152,501346,true
92,49152,298082,true
93,49152,375358,true
94,49152,526975,true
95,49152,331085,true
96,49152,320525,true
97,49152,806562,true
98,49152,520002,true
99,49152,763140,true
100,49152,679122,true
1,61440,883187,true
2,61440,597017,true
3,61440,983567,true
4,61440,628806,true
5,61440,576237,true
6,61440,740688,true
7,61440,398222,true
8,61440,707245,true
9,61440,309664,true
10,61440,731921,true
11,61440,285017,true
12,61440,314533,true
13,61440,655376,true
14,61440,413510,true
15,61440,471740,true
16,61440,322268,true
17,61440,696866,true
18,61440,756968,true
19,61440,375829,true
20,61440,636852,true
21,61440,272855,true
22,61440,674142,true
23,61440,552282,true
24,61440,309083,true
25,61440,704980,true
26,61440,396428,true
27,61440,926819,true
28,61440,813355,true
29,61440,485577,true
30,61440,628736,true
31,61440,628195,true
32,61440,628316,true
33,61440,303252,true
34,61440,905448,true
35,61440,608538,true
36,61440,596686,true
37,61440,325614,true
38,61440,785132,true
39,61440,418459,true
40,61440,811431,true
41,61440,433498,true
42,61440,480918,true
43,61440,577309,true
44,61440,383023,true
45,61440,549096,true
46,61440,411637,true
47,61440,589653,true
48,61440,574795,true
49,61440,490455,true
50,61440,501957,true
51,61440,572630,true
52,61440,405215,true
53,61440,666397,true
54,61440,750005,true
55,61440,831800,true
56,61440,304695,true
57,61440,545991,true
58,61440,292111,true
59,61440,960903,true
60,61440,736710,true
61,61440,1127307,true
62,61440,1336833,true
63,61440,961905,true
64,61440,848421,true
65,61440,713196,true
66,61440,1136715,true
67,61440,747421,true
68,61440,724447,true
69,61440,804949,true
70,61440,829064,true
71,61440,988035,true
72,61440,1040774,true
73,61440,500724,true
74,61440,1375867,true
75,61440,603028,true
76,61440,731380,true
77,61440,485676,true
78,61440,522045,true
79,61440,549497,true
80,61440,289687,true
81,61440,510052,true
82,61440,325664,true
83,61440,502248,true
84,61440,379927,true
85,61440,531092,true
86,61440,359759,true
87,61440,707164,true
88,61440,345291,true
89,61440,480447,true
90,61440,538166,true
91,61440,467693,true
92,61440,493542,true
93,61440,370389,true
94,61440,497248,true
95,61440,365710,true
96,61440,453115,true
97,61440,488522,true
98,61440,497800,true
99,61440,640719,true
100,61440,504071,true
